Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
European Union,154378800,148118400,160308000,162914400,163447200,156326400,167068800,172314000,175928400,179092800,180136800,187977600,193298400,197287200,203972400,203662800,216979200,224622000,231922800,226969200,235879200,237790800,245293200,244911600,258814800,259182000,275047200,267195600,281343600,288205200
   Austria,6768000,7408800,7941600,6609600,5101200,4431600,4356000,4658400,4654800,5400000,4525200,5155200,5209200,4809600,5536800,5677200,5763600,7084800,6843600,4712400,4928400,5227200,5612400,5598000,5490000,5446800,5382000,5256000,5144400,5212800
   Belgium,0,0,0,0,0,0,0,0,0,10810800,12567600,11552400,13651200,13744800,14284800,14626800,16578000,14450400,24451200,21297600,21326400,20980800,20404800,19807200,18763200,19922400,21787200,20437200,20671200,22316400
   Belgium/Luxembourg,7254000,6285600,6580800,7426800,8143200,8643600,9093600,9158400,12888000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
   Bulgaria,964800,720000,655200,1429200,1666800,1854000,979200,1058400,1231200,1321200,1011600,1278000,1234800,1440000,1321200,1587600,1566000,1414800,1861200,1882800,1900800,1735200,2016000,2192400,2235600,2455200,2804400,2545200,2653200,2826000
   Croatia,0,0,604800,586800,694800,1152000,1159200,1386000,1220400,1267200,1238400,1267200,1335600,1414800,1396800,1411200,1454400,1490400,1458000,1418400,1418400,1407600,1382400,1486800,1512000,1573200,1724400,1580400,1605600,1677600
   Cyprus,180000,194400,147600,277200,187200,158400,187200,147600,180000,198000,248400,212400,205200,212400,212400,288000,266400,255600,280800,259200,277200,295200,302400,338400,338400,320400,334800,360000,478800,478800
   Czechia,2372400,1890000,1710000,1850400,1994400,1990800,1890000,2016000,2754000,2620800,2912400,3236400,3196800,3506400,3344400,3826800,3384000,3733200,3733200,3348000,3423600,3427200,4057200,4262400,6562800,7444800,6404400,5425200,6850800,5792400
   Denmark,3452400,3538800,3823200,3578400,3718800,3157200,3621600,3416400,3650400,3938400,3679200,3970800,3873600,3607200,4028400,3574800,3614400,3582000,3240000,3096000,3654000,3272400,3286800,3315600,3070800,3027600,3261600,3067200,3124800,3268800
   Estonia,0,0,57600,183600,298800,385200,421200,507600,486000,471600,378000,579600,432000,482400,633600,795600,914400,997200,1202400,1285200,946800,601200,565200,561600,471600,453600,486000,478800,529200,532800
   Finland,3942000,3718800,3798000,4683600,4899600,2768400,3571200,4269600,4204800,4352400,3826800,3902400,3870000,3978000,4147200,4161600,4204800,4345200,4626000,4474800,4586400,4633200,4456800,4590000,4366800,4755600,5000400,4896000,4626000,5454000
   France,22683600,23590800,23803200,22802400,22928400,22370400,23976000,24134400,23673600,24033600,23472000,24310800,24930000,23947200,21384000,20570400,22287600,23112000,22507200,24012000,24181200,25171200,24627600,24166800,25603200,24512400,24256800,25081200,27446400,28774800
   Germany,49215600,47624400,49640400,50785200,48898800,46267200,48625200,50058000,49464000,51552000,50022000,53110800,55857600,56617200,62481600,60177600,66754800,70430400,71553600,69897600,74170800,75333600,78537600,76226400,79480800,76737600,80524800,78354000,79729200,80755200
   Greece,2311200,1465200,1256400,1350000,1807200,1882800,2757600,2840400,2534400,2638800,2872800,3124800,3229200,3592800,3391200,3351600,3229200,3891600,3801600,3765600,3819600,4158000,4478400,4568400,4442400,4356000,5702400,3121200,4176000,4485600
   Hungary,2066400,2307600,1879200,2404800,2775600,1872000,2170800,2430000,2577600,2743200,2844000,2998800,2980800,3110400,3517200,3067200,3243600,3218400,2919600,2534400,2617200,2304000,2692800,2005200,2998800,2570400,2610000,2599200,2804400,2782800
   Ireland,464400,424800,342000,399600,471600,414000,352800,381600,367200,511200,558000,648000,637200,817200,950400,903600,907200,957600,457200,511200,594000,756000,907200,838800,1051200,1285200,1450800,1537200,1584000,1576800
   Italy,18871200,16668000,16542000,20138400,19994400,19396800,20188800,20674800,21200400,21394800,22734000,23551200,23482800,24944400,25315200,26168400,27172800,28900800,29419200,29080800,29649600,30078000,31287600,31762800,33660000,33580800,36806400,36072000,38300400,39290400
   Latvia,0,0,72000,216000,82800,108000,237600,518400,572400,658800,651600,561600,590400,669600,676800,687600,795600,543600,554400,475200,496800,507600,565200,579600,766800,727200,831600,824400,874800,846000
   Lithuania,0,0,7200,32400,169200,406800,540000,673200,666000,741600,766800,961200,946800,795600,921600,1022400,1141200,1209600,1404000,1479600,1353600,1040400,1213200,1303200,1425600,1540800,1796400,1555200,1587600,1706400
   Luxembourg,0,0,0,0,0,0,0,0,0,522000,835200,756000,910800,1040400,1137600,1191600,1209600,1296000,1263600,1188000,1256400,1173600,1162800,1360800,1486800,1353600,1418400,1368000,1558800,1447200
   Malta,75600,57600,64800,82800,46800,82800,32400,32400,36000,32400,32400,32400,36000,39600,57600,57600,104400,57600,82800,50400,43200,61200,75600,79200,90000,57600,68400,61200,68400,82800
   Netherlands,11260800,11235600,11538000,10094400,10080000,10476000,11102400,10526400,10303200,9237600,10677600,10058400,9936000,11433600,11372400,10756800,11854800,12711600,8294400,9007200,9298800,9640800,9828000,12265200,14457600,15033600,17211600,18244800,19872000,19274400
   Poland,1566000,900000,6433200,6012000,6634800,6375600,6926400,8110800,8254800,8654400,9273600,9788400,9514800,9590400,9673200,10051200,9554400,8150400,8856000,11383200,11804400,12254400,12754800,11822400,11624400,13197600,13777200,14396400,15570000,16027200
   Portugal,1987200,2005200,2127600,2397600,2390400,2278800,2674800,2617200,2743200,2941200,2919600,3034800,3016800,3002400,3016800,2991600,3103200,3279600,3186000,3193200,3636000,3808800,3873600,3826800,3816000,3758400,4060800,3938400,4104000,4392000
   Romania,1591200,1206000,2170800,1530000,1249200,1983600,2509200,2271600,2142000,1839600,1987200,2278800,2656800,2718000,2980800,3146400,3074400,3024000,2973600,2919600,3020400,3038400,3250800,3495600,3448800,3643200,4082400,4158000,4226400,4194000
   Slovakia,0,0,0,1036800,925200,900000,939600,910800,932400,968400,1029600,1141200,1080000,1090800,1072800,1108800,1249200,1828800,2199600,1648800,2358000,2797200,2779200,2872800,3308400,3276000,3261600,2602800,3204000,2782800
   Slovenia,0,0,442800,547200,572400,532800,630000,615600,626400,655200,673200,698400,723600,637200,705600,687600,673200,738000,738000,756000,784800,802800,795600,928800,968400,979200,1162800,1443600,1980000,2232000
   Spain,10990800,10692000,12290400,10126800,10900800,11325600,12654000,13597200,13384800,14349600,13564800,14608800,14493600,14889600,15022800,15681600,16336800,17550000,17510400,17319600,18122400,17355600,18338400,18493200,19461600,19544400,20376000,19490400,20422800,21542400
   Sweden,6361200,6181200,6379200,6325200,6814800,5112000,5479200,5302800,5184000,5241600,4838400,5155200,5266800,5166000,5382000,6094800,6552000,6372000,6494400,5972400,6217200,5929200,6048000,6152400,7912800,7635600,8460000,8301600,8143200,8452800
Japan,19188000,19836000,19173600,20487600,22381200,19760400,21578400,21315600,21697200,23569200,24868800,25185600,26305200,24922800,26114400,26668800,27475200,25509600,25416000,25524000,26665200,27158400,25290000,30171600,27565200,29026800,28893600,27529200,27144000,28944000
Norway,2671200,2739600,2660400,2494800,2901600,2383200,2592000,2462400,2545200,2844000,2383200,2577600,2512800,2487600,2577600,2710800,2631600,2808000,2599200,2606400,2732400,2862000,2646000,2811600,2674800,2880000,2876400,2883600,2674800,2829600
Russian Federation,0,0,4975200,6462000,6213600,6220800,4060800,7866000,6235200,4924800,6804000,11005200,12614400,13579200,11538000,12009600,12474000,15544800,14590800,12790800,14958000,15184800,15030000,15876000,17089200,16956000,18838800,19684800,19036800,21301200
Switzerland,4215600,4068000,3963600,3816000,3956400,3661200,4003200,3495600,4003200,4100400,4215600,4518000,4381200,4759200,4449600,5907600,5410800,6562800,7120800,7563600,8344800,8992800,8920800,9601200,9514800,9892800,10137600,10454400,11109600,11620800
Tunisia,363600,324000,399600,363600,493200,493200,518400,594000,529200,669600,691200,838800,849600,442800,950400,684000,752400,910800,1144800,1040400,1094400,1544400,1580400,1580400,1656000,1652400,1677600,1965600,1918800,1828800
United Kingdom,10432800,10101600,11116800,11509200,12477600,10105200,10450800,10544400,11311200,10465200,10843200,11023200,10695600,10807200,11984400,12358800,14565600,13611600,14281200,14871600,15487200,15058800,14853600,15141600,15548400,17622000,18187200,17960400,20476800,19994400
United States of America,75625200,71424000,82580400,69584400,58215600,61585200,70002000,73234800,75708000,81885600,85561200,77094000,77900400,81936000,83462400,82951200,85352400,87188400,87397200,84880800,87760800,93934800,93801600,97257600,99234000,99748800,103816800,106156800,104104800,111074400
